,#,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type,Evolution Group
325, 313,Volbeat,400,65,73,55,47,75,85,,,,,,Volbeat
326, 314,Illumise,400,65,47,55,73,75,85,,,,,,Illumise
327, 315,Roselia,400,50,60,45,100,80,65,,,,,,Roselia
328, 316,Gulpin,302,70,43,53,43,53,40,,Swalot,26.0,,Level,Gulpin
329, 317,Swalot,467,100,73,83,73,83,55,Gulpin,,,,,Gulpin
330, 318,Carvanha,305,45,90,20,65,20,65,,Sharpedo,30.0,,Level,Carvanha
331, 319,Sharpedo,460,70,120,40,95,40,95,Carvanha,,,,,Carvanha
332, 320,Wailmer,400,130,70,35,70,35,60,,Wailord,40.0,,Level,Wailmer
333, 321,Wailord,500,170,90,45,90,45,60,Wailmer,,,,,Wailmer
334, 322,Numel,305,60,60,40,65,45,35,,Camerupt,33.0,,Level,Numel
335, 323,Camerupt,460,70,100,70,105,75,40,Numel,,,,,Numel
336, 324,Torkoal,470,70,85,140,85,70,20,,,,,,Torkoal
337, 325,Spoink,330,60,25,35,70,80,60,,Grumpig,32.0,,Level,Spoink
338, 326,Grumpig,470,80,45,65,90,110,80,Spoink,,,,,Spoink
339, 327,Spinda,360,60,60,60,60,60,60,,,,,,Spinda
340, 328,Trapinch,290,45,100,45,45,45,10,,Vibrava,35.0,,Level,Trapinch
341, 329,Vibrava,340,50,70,50,50,50,70,Trapinch,Flygon,45.0,,Level,Trapinch
342, 330,Flygon,520,80,100,80,80,80,100,Vibrava,,,,,Trapinch
343, 331,Cacnea,335,50,85,40,85,40,35,,Cacturne,32.0,,Level,Cacnea
344, 332,Cacturne,475,70,115,60,115,60,55,Cacnea,,,,,Cacnea
345, 333,Swablu,310,45,40,60,40,75,50,,Altaria,35.0,,Level,Swablu
346, 334,Altaria,490,75,70,90,70,105,80,Swablu,,,,,Swablu
347, 335,Zangoose,458,73,115,60,60,60,90,,,,,,Zangoose
348, 336,Seviper,458,73,100,60,100,60,65,,,,,,Seviper
349, 337,Lunatone,440,70,55,65,95,85,70,,,,,,Lunatone
350, 338,Solrock,440,70,95,85,55,65,70,,,,,,Solrock
351, 339,Barboach,288,50,48,43,46,41,60,,Whiscash,30.0,,Level,Barboach
352, 340,Whiscash,468,110,78,73,76,71,60,Barboach,,,,,Barboach
353, 341,Corphish,308,43,80,65,50,35,35,,Crawdaunt,30.0,,Level,Corphish
354, 342,Crawdaunt,468,63,120,85,90,55,55,Corphish,,,,,Corphish
355, 343,Baltoy,300,40,40,55,40,70,55,,Claydol,36.0,,Level,Baltoy
356, 344,Claydol,500,60,70,105,70,120,75,Baltoy,,,,,Baltoy
357, 345,Lileep,355,66,41,77,61,87,23,,Cradily,40.0,,Level,Lileep
358, 346,Cradily,495,86,81,97,81,107,43,Lileep,,,,,Lileep
359, 347,Anorith,355,45,95,50,40,50,75,,Armaldo,40.0,,Level,Anorith
360, 348,Armaldo,495,75,125,100,70,80,45,Anorith,,,,,Anorith
361, 349,Feebas,200,20,15,20,10,55,80,,Milotic,,Beauty,Other,Feebas
362, 350,Milotic,540,95,60,79,100,125,81,Feebas,,,,,Feebas
363, 351,Castform,420,70,70,70,70,70,70,,,,,,Castform
364, 352,Kecleon,440,60,90,70,60,120,40,,,,,,Kecleon
365, 353,Shuppet,295,44,75,35,63,33,45,,Banette,37.0,,Level,Shuppet
366, 354,Banette,455,64,115,65,83,63,65,Shuppet,,,,,Shuppet
367, 355,Duskull,295,20,40,90,30,90,25,,Dusclops,37.0,,Level,Duskull
368, 356,Dusclops,455,40,70,130,60,130,25,Duskull,,,,,Duskull
369, 357,Tropius,460,99,68,83,72,87,51,,,,,,Tropius
370, 358,Chimecho,425,65,50,70,95,80,65,,,,,,Chimecho
371, 359,Absol,465,65,130,60,75,60,75,,,,,,Absol
372, 360,Wynaut,260,95,23,48,23,48,23,,Wobbuffet,15.0,,Level,Wynaut
373, 361,Snorunt,300,50,50,50,50,50,50,,Glalie,42.0,,Level,Snorunt
374, 362,Glalie,480,80,80,80,80,80,80,Snorunt,,,,,Snorunt
375, 363,Spheal,290,70,40,50,55,50,25,,Sealeo,32.0,,Level,Spheal
376, 364,Sealeo,410,90,60,70,75,70,45,Spheal,Walrein,44.0,,Level,Spheal
377, 365,Walrein,530,110,80,90,95,90,65,Sealeo,,,,,Spheal
378, 366,Clamperl,345,35,64,85,74,55,32,,,,,,Clamperl
379, 367,Huntail,485,55,104,105,94,75,52,,,,,,Huntail
380, 368,Gorebyss,485,55,84,105,114,75,52,,,,,,Gorebyss
381, 369,Relicanth,485,100,90,130,45,65,55,,,,,,Relicanth
382, 370,Luvdisc,330,43,30,55,40,65,97,,,,,,Luvdisc
383, 371,Bagon,300,45,75,60,40,30,50,,Shelgon,30.0,,Level,Bagon
384, 372,Shelgon,420,65,95,100,60,50,50,Bagon,Salamence,50.0,,Level,Bagon
385, 373,Salamence,600,95,135,80,110,80,100,Shelgon,,,,,Bagon
386, 374,Beldum,300,40,55,80,35,60,30,,Metang,20.0,,Level,Beldum
387, 375,Metang,420,60,75,100,55,80,50,Beldum,Metagross,45.0,,Level,Beldum
388, 376,Metagross,600,80,135,130,95,90,70,Metang,,,,,Beldum
389, 377,Regirock,580,80,100,200,50,100,50,,,,,,Regirock
390, 378,Regice,580,80,50,100,100,200,50,,,,,,Regice
391, 379,Registeel,580,80,75,150,75,150,50,,,,,,Registeel
392, 380,Latias,600,80,80,90,110,130,110,,,,,,Latias
393, 381,Latios,600,80,90,80,130,110,110,,,,,,Latios
394, 382,Kyogre,670,100,100,90,150,140,90,,,,,,Kyogre
395, 383,Groudon,670,100,150,140,100,90,90,,,,,,Groudon
396, 384,Rayquaza,680,105,150,90,150,90,95,,,,,,Rayquaza
397, 385,Jirachi,600,100,100,100,100,100,100,,,,,,Jirachi
398, 386,Deoxys- Normal Forme,600,50,150,50,150,50,150,,,,,,Deoxys- Normal Forme
