,Session #,Customer ID,song_order,Date,Artist,Song
327,136,f17170,6,2021-01-05 03:13:00.019,The Little Mermaid,Part Of Your World
328,137,,1,2021-01-05 03:15:59.990,Frank Sinatra,New York New York
329,138,5f56ac,1,2021-01-05 10:00:00.029,Camilla Cabello Ft. Young Thug,Havana
330,138,5f56ac,2,2021-01-05 10:02:00.038,Destiny’s Child,Say My Name
331,139,5f56ac,1,2021-01-05 10:03:59.962,Cher,Believe
332,139,5f56ac,2,2021-01-05 13:00:00.029,Queen,Don’t Stop Me Now
333,140,732ed3,1,2021-01-05 13:59:59.971,Mariah Carey,All I Want For Christmas Is You
334,140,732ed3,2,2021-01-05 14:01:59.981,Oasis,Don’t Look Back In Anger
335,141,,1,2021-01-05 14:05:00.038,Ed Sheeran,Castle On The Hill
336,142,8c876d,1,2021-01-05 16:59:59.971,Elvis Presley,Suspicious Minds
337,142,8c876d,2,2021-01-05 17:03:00.029,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
338,142,8c876d,3,2021-01-05 17:06:00.000,Whitney Houston,I Wanna Dance With Somebody
339,142,8c876d,4,2021-01-05 17:08:59.971,TLC,No Scrubs
340,143,,1,2021-01-05 17:12:00.029,TLC,No Scrubs
341,144,40b63a,1,2021-01-05 22:00:00.029,ABBA,Gimme Gimme Gimme
342,144,40b63a,2,2021-01-05 22:02:00.038,Aqua,Barbie Girl
343,145,,1,2021-01-05 22:03:59.962,Camilla Cabello Ft. Young Thug,Havana
344,146,140940,1,2021-01-06 01:00:00.029,Neil Diamond,Sweet Caroline
345,146,140940,2,2021-01-06 01:03:00.000,TLC,No Scrubs
346,147,,1,2021-01-06 01:05:59.971,Aladdin,A Whole New World
347,148,758060,1,2021-01-06 04:00:00.029,Bonnie Tyler,Total Eclipse Of The Heart
348,148,758060,2,2021-01-06 04:03:00.000,Oasis,Wonderwall
349,148,758060,3,2021-01-06 04:05:00.010,Will Smith,The Fresh Prince Of Bel Air
350,148,758060,4,2021-01-06 04:07:00.019,Little Mix,Shout Out To My Ex
351,148,758060,5,2021-01-06 04:09:59.990,Little Mix,Shout Out To My Ex
352,149,,1,2021-01-06 04:12:59.962,ABBA,Waterloo
353,149,,2,2021-01-06 10:00:00.029,Oasis,Wonderwall
354,150,98b4b4,1,2021-01-06 10:59:59.971,Gloria Gaynor,I Will Survive
355,150,98b4b4,2,2021-01-06 11:01:59.981,Billie Eilish,Bad Guy
356,150,98b4b4,3,2021-01-06 11:03:59.990,Elvis Presley,Suspicious Minds
357,151,,1,2021-01-06 11:06:59.962,Kesha,This Is Me (Greatest Showman)
358,152,e43422,1,2021-01-06 15:00:00.000,Frank Sinatra,New York New York
359,152,e43422,2,2021-01-06 15:02:59.971,John Denver,"Take Me Home, Country Roads"
360,153,e43422,1,2021-01-06 15:06:00.029,Cher,Believe
361,153,e43422,2,2021-01-06 18:00:00.000,Bonnie Tyler,Total Eclipse Of The Heart
362,154,cda151,1,2021-01-06 19:00:00.029,Pinkfong,Baby Shark
363,154,cda151,2,2021-01-06 19:03:00.000,Ed Sheeran,Perfect
364,154,cda151,3,2021-01-06 19:05:00.010,John Denver,"Take Me Home, Country Roads"
365,154,cda151,4,2021-01-06 19:07:59.981,A-Ha,Take On Me
366,154,cda151,5,2021-01-06 19:09:59.990,High School Musical,Breaking Free
367,154,cda151,6,2021-01-06 19:12:59.962,Shawn Mendes & Camila Cabello,Senorita
368,154,cda151,7,2021-01-06 19:16:00.019,Dolly Parton,9 To 5
369,155,,1,2021-01-06 19:18:00.029,The Pogues,Fairytale Of New York
370,155,,2,2021-01-07 03:00:00.000,Elvis Presley,Suspicious Minds
371,156,0cf9e6,1,2021-01-07 04:00:00.029,Britney Spears,Baby One More Time
372,156,0cf9e6,2,2021-01-07 04:02:00.038,Queen,I Want To Break Free
373,157,0cf9e6,1,2021-01-07 04:05:00.010,Robbie Williams,Angels
374,157,0cf9e6,2,2021-01-07 07:00:00.029,Eminem,Lose Yourself
375,157,0cf9e6,3,2021-01-07 07:59:59.971,Whitney Houston,I Wanna Dance With Somebody
376,158,a242ac,1,2021-01-07 09:00:00.000,Pinkfong,Baby Shark
377,158,a242ac,2,2021-01-07 09:02:59.971,Estelle Ft. Kanye West,American Boy
378,158,a242ac,3,2021-01-07 09:06:00.029,Aqua,Barbie Girl
379,158,a242ac,4,2021-01-07 09:08:00.038,Gloria Gaynor,I Will Survive
380,158,a242ac,5,2021-01-07 09:09:59.962,High School Musical,Breaking Free
381,158,a242ac,6,2021-01-07 09:13:00.019,Wham!,Last Christmas
382,158,a242ac,7,2021-01-07 09:15:00.029,Ed Sheeran,Castle On The Hill
383,158,a242ac,8,2021-01-07 09:18:00.000,Kings Of Leon,Sex Is On Fire
384,158,a242ac,9,2021-01-07 09:20:00.010,Kings Of Leon,Sex Is On Fire
385,159,,1,2021-01-07 09:22:00.019,Eminem,Lose Yourself
386,160,498a45,1,2021-01-07 19:00:00.029,The Weather Girls,It’s Raining Men
387,160,498a45,2,2021-01-07 19:02:00.038,Kings Of Leon,Sex Is On Fire
388,160,498a45,3,2021-01-07 19:03:59.962,Mark Ronson Ft. Bruno Mars,Uptown Funk
389,161,,1,2021-01-07 19:07:00.019,Frank Sinatra,New York New York
390,162,d4f798,1,2021-01-07 22:59:59.971,The Little Mermaid,Under The Sea
391,162,d4f798,2,2021-01-07 23:01:59.981,Lil Nas X,Old Town Road
392,163,,1,2021-01-07 23:05:00.038,ABBA,Dancing Queen
393,164,f0549d,1,2021-01-08 01:59:59.971,The Lion King,I Just Can’t Wait To Be King
394,164,f0549d,2,2021-01-08 02:01:59.981,Ava Max,Sweet But Psycho
395,164,f0549d,3,2021-01-08 02:05:00.038,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
396,164,f0549d,4,2021-01-08 02:08:00.010,Will Smith,The Fresh Prince Of Bel Air
397,164,f0549d,5,2021-01-08 02:10:00.019,Frank Sinatra,New York New York
398,165,,1,2021-01-08 02:12:59.990,Aqua,Barbie Girl
399,166,98150b,1,2021-01-08 07:59:59.971,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
400,166,98150b,2,2021-01-08 08:01:59.981,John Denver,"Take Me Home, Country Roads"
401,166,98150b,3,2021-01-08 08:05:00.038,Britney Spears,Baby One More Time
402,166,98150b,4,2021-01-08 08:06:59.962,John Denver,"Take Me Home, Country Roads"
403,166,98150b,5,2021-01-08 08:10:00.019,Dolly Parton & Kenny Rogers,Islands In The Stream
404,167,,1,2021-01-08 08:12:59.990,Alexandra Burke,Hallelujah
405,168,b0c352,1,2021-01-08 15:00:00.000,Ed Sheeran,Perfect
406,168,b0c352,2,2021-01-08 15:02:00.010,Moana,How Far I’ll Go
407,169,b0c352,1,2021-01-08 15:04:59.981,High School Musical,Breaking Free
408,169,b0c352,2,2021-01-08 19:00:00.029,Frank Sinatra,New York New York
409,170,cc86ee,1,2021-01-08 19:59:59.971,ABBA,Waterloo
410,170,cc86ee,2,2021-01-08 20:03:00.029,Frozen,Let It Go
411,170,cc86ee,3,2021-01-08 20:05:00.038,Will Smith,The Fresh Prince Of Bel Air
412,171,,1,2021-01-08 20:06:59.962,Anne-Marie,2002
413,172,bf513b,1,2021-01-09 01:00:00.029,Guns N’ Roses,Sweet Child O’ Mine
414,172,bf513b,2,2021-01-09 01:02:00.038,Cher,Believe
415,172,bf513b,3,2021-01-09 01:05:00.010,The Greatest Showman,A Million Dreams
416,172,bf513b,4,2021-01-09 01:07:59.981,Grease,Summer Nights
417,173,,1,2021-01-09 01:09:59.990,Bonnie Tyler,Total Eclipse Of The Heart
418,173,,2,2021-01-09 06:00:00.000,ABBA,Gimme Gimme Gimme
419,173,,3,2021-01-09 07:00:00.029,Shawn Mendes & Camila Cabello,Senorita
420,173,,4,2021-01-09 07:59:59.971,Gloria Gaynor,I Will Survive
421,174,b33ec1,1,2021-01-09 09:00:00.000,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
422,174,b33ec1,2,2021-01-09 09:02:59.971,The Little Mermaid,Part Of Your World
423,175,,1,2021-01-09 09:06:00.029,Anne-Marie,2002
424,176,8dc987,1,2021-01-09 12:00:00.000,Wham!,Last Christmas
425,176,8dc987,2,2021-01-09 12:02:00.010,ABBA,Mamma Mia
426,176,8dc987,3,2021-01-09 12:04:00.019,Mark Ronson Ft. Bruno Mars,Uptown Funk
427,176,8dc987,4,2021-01-09 12:06:59.990,Wham!,Last Christmas
428,177,,1,2021-01-09 12:09:00.000,Spice Girls,Wannabe
429,178,,1,2021-01-09 16:59:59.971,Backstreet Boys,I Want It That Way
430,179,abae4d,1,2021-01-09 17:01:59.981,Ariana Grande,7 Rings
431,180,0cf9e6,1,2021-01-09 19:00:00.029,The Pogues,Fairytale Of New York
432,181,0cf9e6,1,2021-01-09 19:02:00.038,John Denver,"Take Me Home, Country Roads"
433,182,509ec8,1,2021-01-09 21:00:00.000,The Lion King,Can You Feel The Love Tonight
434,182,509ec8,2,2021-01-09 21:02:00.010,Kesha,This Is Me (Greatest Showman)
435,182,509ec8,3,2021-01-09 21:04:59.981,The Weather Girls,It’s Raining Men
436,183,,1,2021-01-09 21:06:59.990,Ava Max,Sweet But Psycho
437,183,,2,2021-01-10 01:00:00.029,Lady Gaga & Bradley Cooper,Shallow
438,184,a5632d,1,2021-01-10 01:59:59.971,The Little Mermaid,Under The Sea
439,185,a5632d,1,2021-01-10 02:01:59.981,Queen,We Will Rock You
440,186,509ec8,1,2021-01-10 04:00:00.029,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
441,186,509ec8,2,2021-01-10 04:03:00.000,ABBA,Waterloo
442,186,509ec8,3,2021-01-10 04:05:59.971,John Denver,"Take Me Home, Country Roads"
443,187,,1,2021-01-10 04:09:00.029,Elvis Presley,Suspicious Minds
444,188,47a375,1,2021-01-10 07:59:59.971,Dua Lipa,New Rules
445,189,,1,2021-01-10 08:03:00.029,Dolly Parton & Kenny Rogers,Islands In The Stream
446,189,,2,2021-01-10 10:00:00.029,Shania Twain,Man! I Feel Like A Woman
447,190,a2b2d8,1,2021-01-10 10:59:59.971,The Human League,Don’t You Want Me Baby
448,190,a2b2d8,2,2021-01-10 11:03:00.029,Mark Ronson Ft. Amy Winehouse,Valerie
449,191,,1,2021-01-10 11:06:00.000,George Ezra,Shotgun
450,191,,2,2021-01-10 13:59:59.971,Kings Of Leon,Sex Is On Fire
451,192,4eb901,1,2021-01-10 15:00:00.000,Pinkfong,Baby Shark
452,192,4eb901,2,2021-01-10 15:02:59.971,Wheatus,Teenage Dirtbag
453,193,,1,2021-01-10 15:06:00.029,The Little Mermaid,Part Of Your World
454,193,,2,2021-01-10 18:00:00.000,Estelle Ft. Kanye West,American Boy
455,194,74e4cd,1,2021-01-10 19:00:00.029,The Little Mermaid,Part Of Your World
456,194,74e4cd,2,2021-01-10 19:03:00.000,Eminem,Lose Yourself
457,194,74e4cd,3,2021-01-10 19:05:59.971,Oasis,Wonderwall
458,195,,1,2021-01-10 19:07:59.981,Will Smith,The Fresh Prince Of Bel Air
459,195,,2,2021-01-10 22:59:59.971,Dirty Dancing,The Time Of My Life
460,196,7caaf5,1,2021-01-11 00:00:00.000,Queen,I Want To Break Free
461,196,7caaf5,2,2021-01-11 00:02:59.971,Whitney Houston,I Wanna Dance With Somebody
462,196,7caaf5,3,2021-01-11 00:06:00.029,The Lion King,I Just Can’t Wait To Be King
463,196,7caaf5,4,2021-01-11 00:08:00.038,Billie Eilish,Bad Guy
464,197,,1,2021-01-11 00:09:59.962,Backstreet Boys,Everybody
465,197,,2,2021-01-11 04:59:59.971,ABBA,Dancing Queen
466,198,058fcc,1,2021-01-11 06:00:00.000,Elton John,Your Song
467,199,058fcc,1,2021-01-11 06:02:00.010,Aladdin,A Whole New World
468,199,058fcc,2,2021-01-11 07:59:59.971,Elton John,Your Song
469,199,058fcc,3,2021-01-11 09:00:00.000,Toto,Africa
470,199,058fcc,4,2021-01-11 10:00:00.029,Ed Sheeran,Perfect
471,199,058fcc,5,2021-01-11 10:59:59.971,Aladdin,A Whole New World
472,199,058fcc,6,2021-01-11 12:00:00.000,Frozen,Let It Go
473,199,058fcc,7,2021-01-11 13:00:00.029,The Human League,Don’t You Want Me Baby
474,200,56f7a2,1,2021-01-11 13:59:59.971,Destiny’s Child,Say My Name
475,200,56f7a2,2,2021-01-11 14:01:59.981,Neil Diamond,Sweet Caroline
476,200,56f7a2,3,2021-01-11 14:05:00.038,Mark Ronson Ft. Amy Winehouse,Valerie
477,200,56f7a2,4,2021-01-11 14:08:00.010,Tones And I,Dance Monkey
478,200,56f7a2,5,2021-01-11 14:10:59.981,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
479,201,,1,2021-01-11 14:12:59.990,Oasis,Wonderwall
480,201,,2,2021-01-11 19:59:59.971,The Human League,Don’t You Want Me Baby
481,201,,3,2021-01-11 21:00:00.000,Shawn Mendes & Camila Cabello,Senorita
482,201,,4,2021-01-11 22:00:00.029,Britney Spears,Toxic
483,202,793a1c,1,2021-01-11 22:59:59.971,Tones And I,Dance Monkey
484,202,793a1c,2,2021-01-11 23:03:00.029,Dolly Parton & Kenny Rogers,Islands In The Stream
485,202,793a1c,3,2021-01-11 23:06:00.000,Will Smith,The Fresh Prince Of Bel Air
486,202,793a1c,4,2021-01-11 23:08:00.010,ABBA,Gimme Gimme Gimme
487,202,793a1c,5,2021-01-11 23:10:00.019,Dirty Dancing,The Time Of My Life
488,202,793a1c,6,2021-01-11 23:12:59.990,ABBA,Dancing Queen
489,202,793a1c,7,2021-01-11 23:15:00.000,Backstreet Boys,I Want It That Way
490,202,793a1c,8,2021-01-11 23:17:00.010,Neil Diamond,Sweet Caroline
491,202,793a1c,9,2021-01-11 23:19:59.981,Ed Sheeran & Justin Bieber,I Don’t Care
492,202,793a1c,10,2021-01-11 23:23:00.038,Mariah Carey,All I Want For Christmas Is You
493,202,793a1c,11,2021-01-11 23:24:59.962,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
494,203,,1,2021-01-11 23:26:59.971,Pinkfong,Baby Shark
495,204,a5632d,1,2021-01-12 10:59:59.971,Destiny’s Child,Say My Name
496,205,a5632d,1,2021-01-12 11:01:59.981,Will Smith,The Fresh Prince Of Bel Air
497,206,74e4cd,1,2021-01-12 13:00:00.029,Backstreet Boys,I Want It That Way
498,206,74e4cd,2,2021-01-12 13:02:00.038,High School Musical,Breaking Free
499,206,74e4cd,3,2021-01-12 13:05:00.010,The Human League,Don’t You Want Me Baby
500,206,74e4cd,4,2021-01-12 13:07:59.981,Bon Jovi,Livin’ On A Prayer
501,206,74e4cd,5,2021-01-12 13:09:59.990,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
502,207,,1,2021-01-12 13:12:00.000,The Human League,Don’t You Want Me Baby
503,208,a2bde8,1,2021-01-12 19:00:00.029,Bryan Adams,Summer Of ’69
504,208,a2bde8,2,2021-01-12 19:03:00.000,Ava Max,Sweet But Psycho
505,209,a2bde8,1,2021-01-12 19:05:59.971,Queen,We Will Rock You
506,209,a2bde8,2,2021-01-12 22:00:00.029,Alexandra Burke,Hallelujah
507,209,a2bde8,3,2021-01-12 22:59:59.971,ABBA,Gimme Gimme Gimme
508,210,74e4cd,1,2021-01-13 00:00:00.000,Whitney Houston,I Wanna Dance With Somebody
509,210,74e4cd,2,2021-01-13 00:02:59.971,Cher,Believe
510,210,74e4cd,3,2021-01-13 00:06:00.029,Kesha,This Is Me (Greatest Showman)
511,210,74e4cd,4,2021-01-13 00:09:00.000,Elton John & Kiki Dee,Don’t Go Breaking My Heart
512,210,74e4cd,5,2021-01-13 00:11:00.010,George Ezra,Shotgun
513,210,74e4cd,6,2021-01-13 00:13:00.019,Spice Girls,Wannabe
514,210,74e4cd,7,2021-01-13 00:15:00.029,Dirty Dancing,The Time Of My Life
515,211,,1,2021-01-13 00:18:00.000,Mariah Carey,All I Want For Christmas Is You
516,212,a0a25c,1,2021-01-13 07:59:59.971,The Lion King,Can You Feel The Love Tonight
517,212,a0a25c,2,2021-01-13 08:01:59.981,Elton John,Your Song
518,213,,1,2021-01-13 08:03:59.990,Ike And Tina Turner,Proud Mary
519,214,a2b2d8,1,2021-01-13 10:59:59.971,Ed Sheeran,Castle On The Hill
520,214,a2b2d8,2,2021-01-13 11:03:00.029,Loren Allred,Never Enough (The Greatest Showman)
521,214,a2b2d8,3,2021-01-13 11:05:00.038,The Pogues,Fairytale Of New York
522,214,a2b2d8,4,2021-01-13 11:06:59.962,The Pogues,Fairytale Of New York
523,214,a2b2d8,5,2021-01-13 11:08:59.971,Alexandra Burke,Hallelujah
524,214,a2b2d8,6,2021-01-13 11:12:00.029,Ed Sheeran,Shape Of You
525,214,a2b2d8,7,2021-01-13 11:15:00.000,ABBA,Waterloo
526,215,,1,2021-01-13 11:17:59.971,Ed Sheeran,Shape Of You
527,215,,2,2021-01-13 19:00:00.029,Dolly Parton,Jolene
528,216,a3f849,1,2021-01-13 19:59:59.971,Aladdin,A Whole New World
529,216,a3f849,2,2021-01-13 20:03:00.029,Robbie Williams,Angels
530,217,,1,2021-01-13 20:06:00.000,Gloria Gaynor,I Will Survive
531,218,1d80ad,1,2021-01-14 00:00:00.000,Ed Sheeran & Justin Bieber,I Don’t Care
532,218,1d80ad,2,2021-01-14 00:02:59.971,Elvis Presley,Suspicious Minds
533,218,1d80ad,3,2021-01-14 00:06:00.029,Wham!,Last Christmas
534,218,1d80ad,4,2021-01-14 00:08:00.038,Aladdin,A Whole New World
535,219,,1,2021-01-14 00:11:00.010,Lady Gaga & Bradley Cooper,Shallow
536,220,8bc93d,1,2021-01-14 04:59:59.971,Dolly Parton,Jolene
537,220,8bc93d,2,2021-01-14 05:01:59.981,Dirty Dancing,The Time Of My Life
538,221,,1,2021-01-14 05:05:00.038,Backstreet Boys,Everybody
539,222,f97dbd,1,2021-01-14 07:59:59.971,Elvis Presley,Suspicious Minds
540,222,f97dbd,2,2021-01-14 08:03:00.029,Oasis,Don’t Look Back In Anger
541,222,f97dbd,3,2021-01-14 08:06:00.000,TLC,No Scrubs
542,222,f97dbd,4,2021-01-14 08:08:59.971,Queen,We Will Rock You
543,222,f97dbd,5,2021-01-14 08:12:00.029,Whitney Houston,I Wanna Dance With Somebody
544,223,,1,2021-01-14 08:15:00.000,Bryan Adams,Summer Of ’69
545,223,,2,2021-01-14 13:59:59.971,Taylor Swift,Shake It Off
546,223,,3,2021-01-14 15:00:00.000,Ed Sheeran & Justin Bieber,I Don’t Care
547,224,2f626e,1,2021-01-14 16:00:00.029,Frank Sinatra,My Way
548,225,2f626e,1,2021-01-14 16:03:00.000,ABBA,Dancing Queen
549,226,058fcc,1,2021-01-14 18:00:00.000,Ike And Tina Turner,Proud Mary
550,227,058fcc,1,2021-01-14 18:02:00.010,Neil Diamond,Sweet Caroline
551,227,058fcc,2,2021-01-14 19:59:59.971,Taylor Swift,Shake It Off
552,228,74e4cd,1,2021-01-14 21:00:00.000,Dirty Dancing,The Time Of My Life
553,229,74e4cd,1,2021-01-14 21:02:59.971,Elton John & Kiki Dee,Don’t Go Breaking My Heart
554,230,dfeeea,1,2021-01-14 22:59:59.971,Robbie Williams,Angels
555,230,dfeeea,2,2021-01-14 23:03:00.029,Dolly Parton,9 To 5
556,230,dfeeea,3,2021-01-14 23:05:00.038,Backstreet Boys,I Want It That Way
557,230,dfeeea,4,2021-01-14 23:06:59.962,A-Ha,Take On Me
558,230,dfeeea,5,2021-01-14 23:08:59.971,Kesha,This Is Me (Greatest Showman)
559,230,dfeeea,6,2021-01-14 23:12:00.029,Lewis Capaldi,Someone You Loved
560,231,,1,2021-01-14 23:15:00.000,Will Smith,The Fresh Prince Of Bel Air
561,232,a59dd7,1,2021-01-15 07:00:00.029,Bon Jovi,Livin’ On A Prayer
562,232,a59dd7,2,2021-01-15 07:02:00.038,Shania Twain,Man! I Feel Like A Woman
563,232,a59dd7,3,2021-01-15 07:05:00.010,Ed Sheeran,Perfect
564,232,a59dd7,4,2021-01-15 07:07:00.019,ABBA,Waterloo
565,233,,1,2021-01-15 07:09:59.990,TLC,No Scrubs
566,233,,2,2021-01-15 12:00:00.000,Journey,Don’t Stop Believin’
567,234,0b032a,1,2021-01-15 13:00:00.029,Dolly Parton,Jolene
568,234,0b032a,2,2021-01-15 13:02:00.038,Luis Fonsi & Daddy Yankee,Despacito
569,234,0b032a,3,2021-01-15 13:03:59.962,Outkast,Hey Ya
570,235,0b032a,1,2021-01-15 13:07:00.019,Frozen,Let It Go
571,236,ccee6c,1,2021-01-15 16:59:59.971,Estelle Ft. Kanye West,American Boy
572,237,ccee6c,1,2021-01-15 17:03:00.029,Frank Sinatra,New York New York
573,237,ccee6c,2,2021-01-15 19:00:00.029,Whitney Houston,I Wanna Dance With Somebody
574,238,69900000000000001621832436120643604012189560146096221548559864954880,1,2021-01-15 19:59:59.971,The Weather Girls,It’s Raining Men
575,238,69900000000000001621832436120643604012189560146096221548559864954880,2,2021-01-15 20:01:59.981,Guns N’ Roses,Sweet Child O’ Mine
576,238,69900000000000001621832436120643604012189560146096221548559864954880,3,2021-01-15 20:03:59.990,Loren Allred,Never Enough (The Greatest Showman)
577,238,69900000000000001621832436120643604012189560146096221548559864954880,4,2021-01-15 20:06:00.000,TLC,No Scrubs
578,238,69900000000000001621832436120643604012189560146096221548559864954880,5,2021-01-15 20:08:59.971,The Greatest Showman,A Million Dreams
579,239,,1,2021-01-15 20:12:00.029,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
580,240,793a1c,1,2021-01-16 01:59:59.971,The Little Mermaid,Part Of Your World
581,240,793a1c,2,2021-01-16 02:03:00.029,The Proclaimers,I’m Gonna Be (500 Miles)
582,240,793a1c,3,2021-01-16 02:06:00.000,Queen,We Will Rock You
583,240,793a1c,4,2021-01-16 02:08:59.971,Will Smith,The Fresh Prince Of Bel Air
584,240,793a1c,5,2021-01-16 02:10:59.981,Britney Spears,Toxic
585,240,793a1c,6,2021-01-16 02:14:00.038,Aladdin,A Whole New World
586,241,,1,2021-01-16 02:17:00.010,Robbie Williams,Angels
587,242,7da7c9,1,2021-01-16 09:00:00.000,George Ezra,Shotgun
588,242,7da7c9,2,2021-01-16 09:02:00.010,Backstreet Boys,I Want It That Way
589,242,7da7c9,3,2021-01-16 09:04:00.019,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
590,243,,1,2021-01-16 09:06:59.990,Elton John,Your Song
591,244,c02782,1,2021-01-16 13:00:00.029,Frank Sinatra,My Way
592,244,c02782,2,2021-01-16 13:03:00.000,The Pogues,Fairytale Of New York
593,245,c02782,1,2021-01-16 13:05:00.010,Queen,Don’t Stop Me Now
594,246,01fc7c,1,2021-01-16 16:00:00.029,The Lion King,Can You Feel The Love Tonight
595,246,01fc7c,2,2021-01-16 16:02:00.038,Outkast,Hey Ya
596,246,01fc7c,3,2021-01-16 16:05:00.010,Journey,Don’t Stop Believin’
597,247,,1,2021-01-16 16:07:59.981,Ed Sheeran,Castle On The Hill
598,247,,2,2021-01-16 19:59:59.971,Elton John,Your Song
599,248,41c5b3,1,2021-01-16 21:00:00.000,Ed Sheeran & Justin Bieber,I Don’t Care
600,249,41c5b3,1,2021-01-16 21:02:59.971,Queen,I Want To Break Free
601,250,a9f512,1,2021-01-16 22:59:59.971,Lewis Capaldi,Someone You Loved
602,250,a9f512,2,2021-01-16 23:03:00.029,The Lion King,Can You Feel The Love Tonight
603,250,a9f512,3,2021-01-16 23:05:00.038,Aladdin,A Whole New World
604,250,a9f512,4,2021-01-16 23:08:00.010,Kesha,This Is Me (Greatest Showman)
605,251,,1,2021-01-16 23:10:59.981,Alexandra Burke,Hallelujah
606,252,ffa716,1,2021-01-17 04:00:00.029,High School Musical,Breaking Free
607,252,ffa716,2,2021-01-17 04:03:00.000,High School Musical,Breaking Free
608,252,ffa716,3,2021-01-17 04:05:59.971,George Ezra,Shotgun
609,252,ffa716,4,2021-01-17 04:07:59.981,Loren Allred,Never Enough (The Greatest Showman)
610,252,ffa716,5,2021-01-17 04:09:59.990,Will Smith,The Fresh Prince Of Bel Air
611,253,,1,2021-01-17 04:12:00.000,Grease,You’re The One That I Want
612,254,b0c352,1,2021-01-17 10:00:00.029,Tones And I,Dance Monkey
613,254,b0c352,2,2021-01-17 10:03:00.000,Mark Ronson Ft. Amy Winehouse,Valerie
614,254,b0c352,3,2021-01-17 10:05:59.971,John Denver,"Take Me Home, Country Roads"
615,254,b0c352,4,2021-01-17 10:09:00.029,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
616,254,b0c352,5,2021-01-17 10:12:00.000,Loren Allred,Never Enough (The Greatest Showman)
617,255,,1,2021-01-17 10:14:00.010,High School Musical,Breaking Free
618,255,,2,2021-01-17 16:00:00.029,George Ezra,Shotgun
619,256,8c876d,1,2021-01-17 16:59:59.971,Ariana Grande,7 Rings
620,257,8c876d,1,2021-01-17 17:03:00.029,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
621,258,452d87,1,2021-01-17 19:00:00.029,Luis Fonsi & Daddy Yankee,Despacito
622,259,452d87,1,2021-01-17 19:02:00.038,Wham!,Last Christmas
623,260,a5632d,1,2021-01-17 21:00:00.000,Aqua,Barbie Girl
624,261,a5632d,1,2021-01-17 21:02:00.010,Grease,Summer Nights
625,262,90980,1,2021-01-17 22:59:59.971,Lady Gaga & Bradley Cooper,Shallow
626,262,90980,2,2021-01-17 23:03:00.029,The Human League,Don’t You Want Me Baby
627,263,90980,1,2021-01-17 23:06:00.000,Guns N’ Roses,Sweet Child O’ Mine
628,264,6b550c,1,2021-01-18 01:59:59.971,George Ezra,Shotgun
629,264,6b550c,2,2021-01-18 02:01:59.981,Ed Sheeran,Perfect
630,265,,1,2021-01-18 02:03:59.990,Grease,You’re The One That I Want
631,266,aa0846,1,2021-01-18 04:59:59.971,The Lion King,I Just Can’t Wait To Be King
632,266,aa0846,2,2021-01-18 05:01:59.981,ABBA,Gimme Gimme Gimme
633,266,aa0846,3,2021-01-18 05:03:59.990,Outkast,Hey Ya
634,267,,1,2021-01-18 05:06:59.962,Destiny’s Child,Say My Name
635,268,c01ecb,1,2021-01-18 09:00:00.000,Mark Ronson Ft. Amy Winehouse,Valerie
636,268,c01ecb,2,2021-01-18 09:02:59.971,George Ezra,Shotgun
637,268,c01ecb,3,2021-01-18 09:04:59.981,Bonnie Tyler,Total Eclipse Of The Heart
638,269,,1,2021-01-18 09:08:00.038,Elton John & Kiki Dee,Don’t Go Breaking My Heart
639,270,86b70e,1,2021-01-18 13:00:00.029,ABBA,Waterloo
640,270,86b70e,2,2021-01-18 13:03:00.000,Queen,Don’t Stop Me Now
641,270,86b70e,3,2021-01-18 13:05:59.971,Cher,Believe
642,271,,1,2021-01-18 13:09:00.029,The Proclaimers,I’m Gonna Be (500 Miles)
643,272,f0549d,1,2021-01-18 16:59:59.971,Wheatus,Teenage Dirtbag
644,272,f0549d,2,2021-01-18 17:03:00.029,Beyonce,Single Ladies (Put A Ring On It)
645,272,f0549d,3,2021-01-18 17:06:00.000,Frozen,Let It Go
646,273,,1,2021-01-18 17:08:00.010,Oasis,Wonderwall
647,273,,2,2021-01-18 21:00:00.000,Kesha,This Is Me (Greatest Showman)
648,274,8e86fe,1,2021-01-18 22:00:00.029,Journey,Don’t Stop Believin’
649,274,8e86fe,2,2021-01-18 22:03:00.000,Bon Jovi,Livin’ On A Prayer
650,274,8e86fe,3,2021-01-18 22:05:00.010,The Little Mermaid,Under The Sea
651,275,8e86fe,1,2021-01-18 22:07:00.019,Ed Sheeran,Castle On The Hill
652,276,8c876d,1,2021-01-19 01:59:59.971,Dua Lipa,New Rules
653,277,8c876d,1,2021-01-19 02:03:00.029,Camilla Cabello Ft. Young Thug,Havana
